time,cmd_linear,cmd_angular,VelocityEncR,VelocityEncL
0.0234,0.0000,0.0000,0.0000,0.0000
0.0434,0.0000,0.0000,0.0000,0.0000
0.0633,0.0000,0.0000,0.0000,0.0000
0.0833,0.0000,0.0000,0.0000,0.0000
0.1034,0.0000,0.0000,0.0000,0.0000
0.1234,0.0000,0.0000,0.0000,0.0000
0.1434,0.0000,0.0000,0.0000,0.0000
0.1633,0.0000,0.0000,0.0000,0.0000
0.1839,0.0000,0.0000,0.0000,0.0000
0.2036,0.0000,0.0000,0.0000,0.0000
0.2233,0.0000,0.0000,0.0000,0.0000
0.2436,0.0000,0.0000,0.0000,0.0000
0.2636,0.0000,0.0000,0.0000,0.0000
0.2832,0.0000,0.0000,0.0000,0.0000
0.3032,0.0000,0.0000,0.0000,0.0000
0.3241,0.0000,0.0000,0.0000,0.0000
0.3434,0.0000,0.0000,0.0000,0.0000
0.3634,0.0000,0.0000,0.0000,0.0000
0.3834,0.0000,0.0000,0.0000,0.0000
0.4033,0.0000,0.0000,0.0000,0.0000
0.4233,0.0000,0.0000,0.0000,0.0000
0.4432,0.0000,0.0000,0.0000,0.0000
0.4634,0.0000,0.0000,0.0000,0.0000
0.4837,0.0000,0.0000,0.0000,0.0000
0.5034,0.0000,0.0000,0.0000,0.0000
0.5234,0.0000,0.0000,0.0000,0.0000
0.5434,0.0000,0.0000,0.0000,0.0000
0.5635,0.0000,0.0000,0.0000,0.0000
0.5834,0.0000,0.0000,0.0000,0.0000
0.6034,0.0000,0.0000,0.0000,0.0000
0.6233,0.0000,0.0000,0.0000,0.0000
0.6434,0.0000,0.0000,0.0000,0.0000
0.6634,0.0000,0.0000,0.0000,0.0000
0.6834,0.0000,0.0000,0.0000,0.0000
0.7034,0.0000,0.0000,0.0000,0.0000
0.7232,0.0000,0.0000,0.0000,0.0000
0.7433,0.0000,0.0000,0.0000,0.0000
0.7632,0.0000,0.0000,0.0000,0.0000
0.7834,0.0000,0.0000,0.0000,0.0000
0.8034,0.0000,0.0000,0.0000,0.0000
0.8234,0.0000,0.0000,0.0000,0.0000
0.8434,0.0000,0.0000,0.0000,0.0000
0.8634,0.0000,0.0000,0.0000,0.0000
0.8832,0.0000,0.0000,0.0000,0.0000
0.9033,0.0000,0.0000,0.0000,0.0000
0.9234,0.0000,0.0000,0.0000,0.0000
0.9434,0.0000,0.0000,0.0000,0.0000
0.9634,0.0000,0.0000,0.0000,0.0000
0.9834,0.0000,0.0000,0.0000,0.0000
1.0034,0.0000,0.0000,0.0000,0.0000
1.0232,0.0000,0.0000,0.0000,0.0000
1.0432,0.0000,0.0000,0.0000,0.0000
1.0633,0.0000,0.0000,0.0000,0.0000
1.0835,0.0000,0.0000,0.0000,0.0000
1.1034,0.0000,0.0000,0.0000,0.0000
1.1234,0.0000,0.0000,0.0000,0.0000
1.1434,0.0000,0.0000,0.0000,0.0000
1.1634,0.0000,0.0000,0.0000,0.0000
1.1833,0.0000,0.0000,0.0000,0.0000
1.2033,0.0000,0.0000,0.0000,0.0000
1.2235,0.0000,0.0000,0.0000,0.0000
1.2435,0.0000,0.0000,0.0000,0.0000
1.2635,0.0000,0.0000,0.0000,0.0000
1.2835,0.0000,0.0000,0.0000,0.0000
1.3034,0.0000,0.0000,0.0000,0.0000
1.3235,0.0000,0.0000,0.0000,0.0000
1.3433,0.0000,0.0000,0.0000,0.0000
1.3633,0.0000,0.0000,0.0000,0.0000
1.3835,0.0000,0.0000,0.0000,0.0000
1.4034,0.0000,0.0000,0.0000,0.0000
1.4234,0.0000,0.0000,0.0000,0.0000
1.4435,0.0000,0.0000,0.0000,0.0000
1.4635,0.0000,0.0000,0.0000,0.0000
1.4833,0.0000,0.0000,0.0000,0.0000
1.5035,0.0000,0.0000,0.0000,0.0000
1.5233,0.0000,0.0000,0.0000,0.0000
1.5433,0.0000,0.0000,0.0000,0.0000
1.5634,0.0000,0.0000,0.0000,0.0000
1.5835,0.0000,0.0000,0.0000,0.0000
1.6039,0.0000,0.0000,0.0000,0.0000
1.6237,0.0000,0.0000,0.0000,0.0000
1.6437,0.0000,0.0000,0.0000,0.0000
1.6639,0.0000,0.0000,0.0000,0.0000
1.6839,0.0000,0.0000,0.0000,0.0000
1.7039,0.0000,0.0000,0.0000,0.0000
1.7237,0.0000,0.0000,0.0000,0.0000
1.7437,0.0000,0.0000,0.0000,0.0000
1.7642,0.0000,0.0000,0.0000,0.0000
1.7841,0.0000,0.0000,0.0000,0.0000
1.8037,0.0000,0.0000,0.0000,0.0000
1.8235,0.0000,0.0000,0.0000,0.0000
1.8439,0.0000,0.0000,0.0000,0.0000
1.8642,0.0000,0.0000,0.0000,0.0000
1.8835,0.0000,0.0000,0.0000,0.0000
1.9036,0.0000,0.0000,0.0000,0.0000
1.9239,0.0000,0.0000,0.0000,0.0000
1.9435,0.0000,0.0000,0.0000,0.0000
1.9633,0.0000,0.0000,0.0000,0.0000
1.9834,0.0000,0.0000,0.0000,0.0000
2.0032,0.0000,0.0000,0.0000,0.0000
2.0233,0.0000,0.0000,0.0000,0.0000
2.0440,0.0000,0.0000,0.0000,0.0000
2.0636,0.0000,0.0000,0.0000,0.0000
2.0832,0.0000,0.0000,0.0000,0.0000
2.1036,0.0000,0.0000,0.0000,0.0000
2.1235,0.0000,0.0000,0.0000,0.0000
2.1438,0.0000,0.0000,0.0000,0.0000
2.1640,0.0000,0.0000,0.0000,0.0000
2.1839,0.0000,0.0000,0.0000,0.0000
2.2035,0.0000,0.0000,0.0000,0.0000
2.2233,0.0000,0.0000,0.0000,0.0000
2.2435,0.0000,0.0000,0.0000,0.0000
2.2639,0.0000,0.0000,0.0000,0.0000
2.2841,0.0000,0.0000,0.0000,0.0000
2.3034,0.0000,0.0000,0.0000,0.0000
2.3236,0.0000,0.0000,0.0000,0.0000
2.3434,0.0000,0.0000,0.0000,0.0000
2.3634,0.0000,0.0000,0.0000,0.0000
2.3833,0.0000,0.0000,0.0000,0.0000
2.4032,0.0000,0.0000,0.0000,0.0000
2.4234,0.0000,0.0000,0.0000,0.0000
2.4434,0.0000,0.0000,0.0000,0.0000
2.4634,0.0000,0.0000,0.0000,0.0000
2.4833,0.0000,0.0000,0.0000,0.0000
2.5033,0.0000,0.0000,0.0000,0.0000
2.5234,0.0000,0.0000,0.0000,0.0000
2.5434,0.0000,0.0000,0.0000,0.0000
2.5634,0.0000,0.0000,0.0000,0.0000
2.5834,0.0000,0.0000,0.0000,0.0000
2.6034,0.0000,0.0000,0.0000,0.0000
2.6233,0.0000,0.0000,0.0000,0.0000
2.6433,0.0000,0.0000,0.0000,0.0000
2.6634,0.0000,0.0000,0.0000,0.0000
2.6834,0.0000,0.0000,0.0000,0.0000
2.7033,0.0000,0.0000,0.0000,0.0000
2.7233,0.0000,0.0000,0.0000,0.0000
2.7433,0.0000,0.0000,0.0000,0.0000
2.7634,0.0000,0.0000,0.0000,0.0000
2.7834,0.0000,0.0000,0.0000,0.0000
2.8034,0.0000,0.0000,0.0000,0.0000
2.8234,0.0000,0.0000,0.0000,0.0000
2.8433,0.0000,0.0000,0.0000,0.0000
2.8639,0.0000,0.0000,0.0000,0.0000
2.8834,0.0000,0.0000,0.0000,0.0000
2.9035,0.0000,0.0000,0.0000,0.0000
2.9235,0.0000,0.0000,0.0000,0.0000
2.9435,0.0000,0.0000,0.0000,0.0000
2.9635,0.0000,0.0000,0.0000,0.0000
2.9832,0.0000,0.0000,0.0000,0.0000
3.0034,0.0000,0.0000,0.0000,0.0000
3.0232,0.0000,0.0000,0.0000,0.0000
3.0433,0.0000,0.0000,0.0000,0.0000
3.0634,0.0000,0.0000,0.0000,0.0000
3.0834,0.0000,0.0000,0.0000,0.0000
3.1034,0.0000,0.0000,0.0000,0.0000
3.1233,0.0000,0.0000,0.0000,0.0000
3.1434,0.0000,0.0000,0.0000,0.0000
3.1633,0.0000,0.0000,0.0000,0.0000
3.1836,0.0000,0.0000,0.0000,0.0000
3.2034,0.0000,0.0000,0.0000,0.0000
3.2233,0.0000,0.0000,0.0000,0.0000
3.2434,0.0000,0.0000,0.0000,0.0000
3.2633,0.0000,0.0000,0.0000,0.0000
