time,cmd_linear,cmd_angular,VelocityEncR,VelocityEncL
0.0231,0.0000,0.0000,0.0000,0.0000
0.0433,0.0000,0.0000,0.0000,0.0000
0.0630,0.0000,0.0000,0.0000,0.0000
0.0833,0.0000,0.0000,0.0000,0.0000
0.1032,0.0000,0.0000,0.0000,0.0000
0.1235,0.0000,0.0000,0.0000,0.0000
0.1429,0.0000,0.0000,0.0000,0.0000
0.1635,0.0000,0.0000,0.0000,0.0000
0.1834,0.0000,0.0000,0.0000,0.0000
0.2030,0.0000,0.0000,0.0000,0.0000
0.2235,0.0000,0.0000,0.0000,0.0000
0.2431,0.0000,0.0000,0.0000,0.0000
0.2632,0.0000,0.0000,0.0000,0.0000
0.2840,0.0000,0.0000,0.0000,0.0000
0.3034,0.0000,0.0000,0.0000,0.0000
0.3235,0.0000,0.0000,0.0000,0.0000
0.3433,0.0000,0.0000,0.0000,0.0000
0.3633,0.0000,0.0000,0.0000,0.0000
0.3831,0.0000,0.0000,0.0000,0.0000
0.4038,0.0000,0.0000,0.0000,0.0000
0.4231,0.0000,0.0000,0.0000,0.0000
0.4430,0.0000,0.0000,0.0000,0.0000
0.4631,0.0000,0.0000,0.0000,0.0000
0.4830,0.0000,0.0000,0.0000,0.0000
0.5031,0.0000,0.0000,0.0000,0.0000
0.5231,0.0000,0.0000,0.0000,0.0000
0.5431,0.0000,0.0000,0.0000,0.0000
0.5631,0.0000,0.0000,0.0000,0.0000
0.5831,0.0000,0.0000,0.0000,0.0000
0.6029,0.0000,0.0000,0.0000,0.0000
0.6231,0.0000,0.0000,0.0000,0.0000
0.6429,0.0000,0.0000,0.0000,0.0000
0.6631,0.0000,0.0000,0.0000,0.0000
0.6831,0.0000,0.0000,0.0000,0.0000
0.7031,0.0000,0.0000,0.0000,0.0000
0.7231,0.0000,0.0000,0.0000,0.0000
0.7431,0.0000,0.0000,0.0000,0.0000
0.7631,0.0000,0.0000,0.0000,0.0000
0.7829,0.0000,0.0000,0.0000,0.0000
0.8029,0.0000,0.0000,0.0000,0.0000
0.8231,0.0000,0.0000,0.0000,0.0000
0.8432,0.0000,0.0000,0.0000,0.0000
0.8636,0.0000,0.0000,0.0000,0.0000
0.8831,0.0000,0.0000,0.0000,0.0000
0.9031,0.0000,0.0000,0.0000,0.0000
0.9231,0.0000,0.0000,0.0000,0.0000
0.9431,0.0000,0.0000,0.0000,0.0000
0.9631,0.0000,0.0000,0.0000,0.0000
0.9830,0.0000,0.0000,0.0000,0.0000
1.0036,0.0000,0.0000,0.0000,0.0000
1.0234,0.0000,0.0000,0.0000,0.0000
1.0433,0.0000,0.0000,0.0000,0.0000
1.0635,0.0000,0.0000,0.0000,0.0000
1.0833,0.0000,0.0000,0.0000,0.0000
1.1030,0.0000,0.0000,0.0000,0.0000
1.1234,0.0000,0.0000,0.0000,0.0000
1.1431,0.0000,0.0000,0.0000,0.0000
1.1631,0.0000,0.0000,0.0000,0.0000
1.1836,0.0000,0.0000,0.0000,0.0000
1.2029,0.0000,0.0000,0.0000,0.0000
1.2231,0.0000,0.0000,0.0000,0.0000
1.2429,0.0000,0.0000,0.0000,0.0000
1.2629,0.0000,0.0000,0.0000,0.0000
1.2832,0.0000,0.0000,0.0000,0.0000
1.3035,0.0000,0.0000,0.0000,0.0000
1.3237,0.0000,0.0000,0.0000,0.0000
1.3430,0.0000,0.0000,0.0000,0.0000
1.3631,0.0000,0.0000,0.0000,0.0000
1.3831,0.0000,0.0000,0.0000,0.0000
1.4029,0.0000,0.0000,0.0000,0.0000
1.4229,0.0000,0.0000,0.0000,0.0000
1.4431,0.0000,0.0000,0.0000,0.0000
1.4631,0.0000,0.0000,0.0000,0.0000
1.4831,0.0000,0.0000,0.0000,0.0000
1.5031,0.0000,0.0000,0.0000,0.0000
1.5231,0.0000,0.0000,0.0000,0.0000
1.5431,0.0000,0.0000,0.0000,0.0000
1.5631,0.0000,0.0000,0.0000,0.0000
1.5831,0.0000,0.0000,0.0000,0.0000
1.6032,0.0000,0.0000,0.0000,0.0000
1.6231,0.0000,0.0000,0.0000,0.0000
1.6431,0.0000,0.0000,0.0000,0.0000
1.6631,0.0000,0.0000,0.0000,0.0000
